datetime,close,high,low,open,volume,adj close,
13/06/19,191.449997,49.9614296,47.5,48.1085701,32116000,49.3914299,
08/07/19,205.75,49.91428757,48.32857132,49.90000153,47892600,49.7842865,
09/08/19,206.899994,54.41143036,52.11857224,53.80428696,64702400,53.27142715,
06/09/19,207.210007,52.5,50.42856979,51.81856918,40285000,50.5,
15/10/19,206.460007,50.84285736,47.82857132,50.3571434,30639000,49.15285873,
07/11/19,223.289993,48.77285767,46,48.20857239,33071500,46.01142883,
19/12/19,229.940002,45.84285736,42.7857132,45.43571472,47123300,44.88714218,
15/01/20,245.210007,46.37571335,44.57571411,44.60571289,23132900,45.69571304,
13/02/20,238.350006,46.05714417,44.32143021,45.41714478,23618700,46.00571442,
13/03/20,177.169998,49.38428497,46.15000153,46.29285812,37001300,48.07428741,
15/04/20,178.520004,49.12857056,47.72142792,48.2157135,26194700,48.66428757,
08/05/20,185.389999,49.35428619,48.01428604,48.29571533,20330800,49.19714355,
15/06/20,206.309998,49.67428589,46.52000046,49.10285568,22722700,46.59857178,
07/07/20,199.360001,46.83428574,45.02999878,46.59000015,25680900,45.79142761,
14/08/20,207.970001,47.38857269,44.90856934,45.30857086,21168700,45.95142746,
08/09/20,202.479996,47.13428497,45.33571243,46.01142883,17968300,46.93571472,
07/10/20,203.600006,49.36142731,47.21714401,47.26571274,21395500,49.34999847,
02/11/20,190.199997,50.61000061,48.6771431,49.20714188,20832000,49.59143066,
28/12/20,259.589996,50.62857056,49.43714142,49.57857132,19891900,50.26856995,
